,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,114000,6,19000
1,Round 2,108792,6,18132
2,Round 3,106600,6,17767
3,Round 4,115000,6,19167
4,Round 5,113192,6,18865
5,Round 6,102500,6,17083
6,Round 7,132607,6,22101
7,Round 8,106046,6,17674
8,Round 9,131000,6,21833
9,Round 10,109996,6,18333
10,Round 11,104000,6,17333
11,Round 12,96806,6,16134
12,Round 13,109000,6,18167
13,Round 14,89307,6,14885
14,Round 15,113574,6,18929
15,Round 16,110500,6,18417
16,Round 17,98634,6,16439
17,Round 18,87000,6,14500
18,Round 19,99500,6,16583
19,Finals,299486,4,74872
