,0,1,2,3
0,Highest Home & Away Crowds,,,
1,26000,Carlton v Richmond,Princes Park,1942.0
2,20000,Richmond v Carlton,Punt Rd,1942.0
3,20000,Melbourne v Richmond,Punt Rd,1942.0
4,18000,Essendon v Richmond,Windy Hill,1942.0
5,18000,Richmond v South Melbourne,Punt Rd,1942.0
6,17000,Fitzroy v Richmond,Brunswick St,1942.0
7,16000,Essendon v South Melbourne,Windy Hill,1942.0
8,16000,Carlton v South Melbourne,Princes Park,1942.0
9,15000,Footscray v Richmond,Yarraville Oval,1942.0
10,15000,Fitzroy v Essendon,Brunswick St,1942.0
11,15000,South Melbourne v Carlton,Princes Park,1942.0
12,14000,Essendon v Footscray,Windy Hill,1942.0
13,14000,Carlton v Fitzroy,Princes Park,1942.0
14,14000,Richmond v Footscray,Punt Rd,1942.0
15,13000,Fitzroy v Carlton,Brunswick St,1942.0
16,13000,Essendon v Carlton,Windy Hill,1942.0
17,12000,North Melbourne v South Melbourne,Arden St,1942.0
18,11500,Richmond v Collingwood,Punt Rd,1942.0
19,10000,Footscray v Essendon,Yarraville Oval,1942.0
20,10000,Essendon v North Melbourne,Windy Hill,1942.0
