, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,82500,7,11786,80500.0,7.0,11500.0,163000.0,14.0,11643.0,,,
1,Collingwood,39500,7,5643,45500.0,7.0,6500.0,85000.0,14.0,6071.0,,,
2,Essendon,93000,8,11625,53500.0,7.0,7643.0,146500.0,15.0,9767.0,107000.0,3.0,35667.0
3,Fitzroy,79500,8,9938,54500.0,7.0,7786.0,134000.0,15.0,8933.0,,,
4,Footscray,59500,7,8500,59500.0,7.0,8500.0,119000.0,14.0,8500.0,25000.0,1.0,25000.0
5,Hawthorn,29000,7,4143,33500.0,8.0,4188.0,62500.0,15.0,4167.0,,,
6,Melbourne,58000,8,7250,41500.0,7.0,5929.0,99500.0,15.0,6633.0,,,
7,North Melbourne,38000,7,5429,41500.0,7.0,5929.0,79500.0,14.0,5679.0,,,
8,Richmond,84500,7,12071,114500.0,8.0,14313.0,199000.0,15.0,13267.0,81000.0,2.0,40500.0
9,South Melbourne,56000,7,8000,93000.0,8.0,11625.0,149000.0,15.0,9933.0,51000.0,2.0,25500.0
10,St Kilda,39500,7,5643,41500.0,7.0,5929.0,81000.0,14.0,5786.0,,,
11,Totals,Home & Away:659000 (8238),Finals:132000 (33000) ,Overall:791000 (9417),,,,,,,,,
