,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,43000,5,8600
1,Round 2,57000,5,11400
2,Round 3,43000,5,8600
3,Round 4,45000,5,9000
4,Round 5,48500,5,9700
5,Round 6,44500,5,8900
6,Round 7,40500,5,8100
7,Round 8,41000,5,8200
8,Round 9,28000,5,5600
9,Round 10,36000,5,7200
10,Round 11,40000,5,8000
11,Round 12,40000,5,8000
12,Round 13,47000,5,9400
13,Round 14,20000,5,4000
14,Round 15,35500,5,7100
15,Round 16,50000,5,10000
16,Finals,132000,4,33000
