,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,2000,Collingwood v Hawthorn,Victoria Park,1942.0
2,2500,Hawthorn v Melbourne,Glenferrie Oval,1942.0
3,2500,Footscray v Hawthorn,Yarraville Oval,1942.0
4,3000,Hawthorn v Carlton,Glenferrie Oval,1942.0
5,3000,Melbourne v Fitzroy,Punt Rd,1942.0
6,3000,North Melbourne v Hawthorn,Arden St,1942.0
7,3500,Hawthorn v St Kilda,Glenferrie Oval,1942.0
8,3500,Melbourne v Hawthorn,Punt Rd,1942.0
9,3500,North Melbourne v Collingwood,Arden St,1942.0
10,3500,St Kilda v South Melbourne,Toorak Park,1942.0
11,3500,Collingwood v Richmond,Victoria Park,1942.0
12,4000,Hawthorn v Collingwood,Glenferrie Oval,1942.0
13,4000,Melbourne v St Kilda,Punt Rd,1942.0
14,4000,North Melbourne v Melbourne,Arden St,1942.0
15,4000,North Melbourne v Essendon,Arden St,1942.0
16,4000,St Kilda v North Melbourne,Toorak Park,1942.0
17,4500,St Kilda v Essendon,Toorak Park,1942.0
18,5000,Hawthorn v North Melbourne,Glenferrie Oval,1942.0
19,5000,Hawthorn v Footscray,Glenferrie Oval,1942.0
20,5000,Richmond v North Melbourne,Punt Rd,1942.0
