, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,146178,9,16242,,,
1,Brunswick St,118683,9,13187,,,
2,Glenferrie Oval,167200,9,18578,,,
3,Junction Oval,237900,9,26433,,,
4,Kardinia Park,243297,9,27033,,,
5,Lake Oval,147450,9,16383,,,
6,M.C.G.,446177,9,49575,374803.0,4.0,93701.0
7,Princes Park,190177,9,21131,,,
8,Punt Rd,174540,9,19393,,,
9,Victoria Park,290751,9,32306,,,
10,Western Oval,161412,9,17935,,,
11,Windy Hill,213200,9,23689,,,
