,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,192283,6,32047
1,Round 2,162716,6,27119
2,Round 3,150120,6,25020
3,Round 4,155009,6,25835
4,Round 5,145680,6,24280
5,Round 6,166172,6,27695
6,Round 7,156896,6,26149
7,Round 8,138301,6,23050
8,Round 9,197778,6,32963
9,Round 10,135645,6,22608
10,Round 11,94795,6,15799
11,Round 12,120574,6,20096
12,Round 13,125677,6,20946
13,Round 14,100896,6,16816
14,Round 15,100117,6,16686
15,Round 16,149357,6,24893
16,Round 17,119749,6,19958
17,Round 18,125200,6,20867
18,Finals,374803,4,93701
