, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,190177,9,21131,214471.0,9.0,23830.0,404648.0,18.0,22480.0,,,
1,Collingwood,290751,9,32306,293041.0,9.0,32560.0,583792.0,18.0,32433.0,282572.0,3.0,94191.0
2,Essendon,213200,9,23689,281377.0,9.0,31264.0,494577.0,18.0,27477.0,92231.0,1.0,92231.0
3,Fitzroy,118683,9,13187,144357.0,9.0,16040.0,263040.0,18.0,14613.0,,,
4,Footscray,161412,9,17935,190172.0,9.0,21130.0,351584.0,18.0,19532.0,,,
5,Geelong,243297,9,27033,275818.0,9.0,30646.0,519115.0,18.0,28840.0,179322.0,2.0,89661.0
6,Hawthorn,167200,9,18578,213378.0,9.0,23709.0,380578.0,18.0,21143.0,,,
7,Melbourne,446177,9,49575,193576.0,9.0,21508.0,639753.0,18.0,35542.0,195481.0,2.0,97741.0
8,North Melbourne,146178,9,16242,175506.0,9.0,19501.0,321684.0,18.0,17871.0,,,
9,Richmond,174540,9,19393,182690.0,9.0,20299.0,357230.0,18.0,19846.0,,,
10,South Melbourne,147450,9,16383,152176.0,9.0,16908.0,299626.0,18.0,16646.0,,,
11,St Kilda,237900,9,26433,220403.0,9.0,24489.0,458303.0,18.0,25461.0,,,
12,Totals,Home & Away:2536965 (23490),Finals:374803 (93701) ,Overall:2911768 (25998),,,,,,,,,
