,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,7167,Fitzroy v Richmond,Brunswick St,1964.0
2,7322,Fitzroy v Hawthorn,Brunswick St,1964.0
3,7584,North Melbourne v Fitzroy,Arden St,1964.0
4,9100,Hawthorn v North Melbourne,Glenferrie Oval,1964.0
5,10170,Richmond v North Melbourne,Punt Rd,1964.0
6,10350,South Melbourne v Fitzroy,Lake Oval,1964.0
7,10490,South Melbourne v Melbourne,Lake Oval,1964.0
8,11000,Hawthorn v South Melbourne,Glenferrie Oval,1964.0
9,11038,Footscray v Carlton,Western Oval,1964.0
10,11080,South Melbourne v Footscray,Lake Oval,1964.0
11,11254,Fitzroy v Essendon,Brunswick St,1964.0
12,11773,North Melbourne v South Melbourne,Arden St,1964.0
13,12000,Richmond v Footscray,Punt Rd,1964.0
14,12500,Richmond v South Melbourne,Punt Rd,1964.0
15,12600,South Melbourne v Collingwood,Lake Oval,1964.0
16,12708,Footscray v North Melbourne,Western Oval,1964.0
17,12727,Fitzroy v Melbourne,Brunswick St,1964.0
18,12955,Footscray v St Kilda,Western Oval,1964.0
19,13000,Hawthorn v Footscray,Glenferrie Oval,1964.0
20,13100,Hawthorn v Fitzroy,Glenferrie Oval,1964.0
