,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,91000,6,15167
1,Round 2,80000,6,13333
2,Round 3,91000,6,15167
3,Round 4,83500,6,13917
4,Round 5,92000,6,15333
5,Round 6,104000,6,17333
6,Round 7,84000,6,14000
7,Round 8,94000,6,15667
8,Round 9,93000,6,15500
9,Round 10,79000,6,13167
10,Round 11,78500,6,13083
11,Round 12,68500,6,11417
12,Round 13,77000,6,12833
13,Round 14,92500,6,15417
14,Round 15,62000,6,10333
15,Round 16,90000,6,15000
16,Round 17,85500,6,14250
17,Round 18,94500,6,15750
18,Round 19,90000,6,15000
19,Round 20,89500,6,14917
20,Finals,205361,4,51340
