, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,163500,10,16350,181000.0,10.0,18100.0,344500.0,20.0,17225.0,159137.0,3.0,53046.0
1,Collingwood,168000,10,16800,162000.0,10.0,16200.0,330000.0,20.0,16500.0,87529.0,2.0,43765.0
2,Essendon,127000,10,12700,163000.0,10.0,16300.0,290000.0,20.0,14500.0,,,
3,Fitzroy,143000,10,14300,139500.0,10.0,13950.0,282500.0,20.0,14125.0,,,
4,Footscray,176500,10,17650,173000.0,10.0,17300.0,349500.0,20.0,17475.0,,,
5,Geelong,87000,10,8700,80000.0,10.0,8000.0,167000.0,20.0,8350.0,,,
6,Hawthorn,90500,10,9050,102000.0,10.0,10200.0,192500.0,20.0,9625.0,,,
7,Melbourne,131000,10,13100,106000.0,10.0,10600.0,237000.0,20.0,11850.0,,,
8,North Melbourne,124500,10,12450,150000.0,10.0,15000.0,274500.0,20.0,13725.0,54846.0,1.0,54846.0
9,Richmond,213000,10,21300,175500.0,10.0,17550.0,388500.0,20.0,19425.0,,,
10,South Melbourne,196000,10,19600,205000.0,10.0,20500.0,401000.0,20.0,20050.0,109210.0,2.0,54605.0
11,St Kilda,99500,10,9950,82500.0,10.0,8250.0,182000.0,20.0,9100.0,,,
12,Totals,Home & Away:1719500 (14329),Finals:205361 (51340) ,Overall:1924861 (15523),,,,,,,,,
