, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide,513151,11,46650,314784.0,11.0,28617.0,827935.0,22.0,37633.0,206643.0,3.0,68881.0
1,Brisbane Lions,181007,11,16455,300831.0,11.0,27348.0,481838.0,22.0,21902.0,,,
2,Carlton,421916,11,38356,451702.0,11.0,41064.0,873618.0,22.0,39710.0,,,
3,Collingwood,514963,11,46815,489028.0,11.0,44457.0,1003991.0,22.0,45636.0,,,
4,Essendon,558935,11,50812,460822.0,11.0,41893.0,1019757.0,22.0,46353.0,46323.0,1.0,46323.0
5,Fremantle,356122,11,32375,334784.0,11.0,30435.0,690906.0,22.0,31405.0,,,
6,Geelong,386218,11,35111,405010.0,11.0,36819.0,791228.0,22.0,35965.0,204374.0,3.0,68125.0
7,Gold Coast,150292,11,13663,219190.0,11.0,19926.0,369482.0,22.0,16795.0,,,
8,Greater Western Sydney,145152,11,13196,286823.0,11.0,26075.0,431975.0,22.0,19635.0,161928.0,3.0,53976.0
9,Hawthorn,365822,11,33257,500714.0,11.0,45519.0,866536.0,22.0,39388.0,,,
10,Melbourne,392638,11,35694,440552.0,11.0,40050.0,833190.0,22.0,37872.0,,,
11,North Melbourne,249460,11,22678,304846.0,11.0,27713.0,554306.0,22.0,25196.0,,,
12,Port Adelaide,419494,11,38136,279883.0,11.0,25444.0,699377.0,22.0,31790.0,41172.0,1.0,41172.0
13,Richmond,615542,11,55958,409209.0,11.0,37201.0,1024751.0,22.0,46580.0,289307.0,3.0,96436.0
14,St Kilda,345510,11,31410,415712.0,11.0,37792.0,761222.0,22.0,34601.0,,,
15,Sydney,367376,11,33398,427533.0,11.0,38867.0,794909.0,22.0,36132.0,101852.0,2.0,50926.0
16,West Coast,404258,11,36751,309414.0,11.0,28129.0,713672.0,22.0,32440.0,56037.0,2.0,28019.0
17,Western Bulldogs,346206,11,31473,383225.0,11.0,34839.0,729431.0,22.0,33156.0,,,
18,Totals,Home & Away:6734062 (34010),Finals:553818 (61535) ,Overall:7287880 (35207),,,,,,,,,
