, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide Oval,932645,22,42393,147794.0,3.0,49265.0
1,Bellerive Oval,32761,3,10920,,,
2,Carrara,140174,10,14017,,,
3,Cazaly's Stadium,9364,1,9364,,,
4,Docklands,1514914,46,32933,,,
5,Eureka Stadium,10087,1,10087,,,
6,Gabba,181007,11,16455,,,
7,Jiangwan Stadium,10118,1,10118,,,
8,Kardinia Park,208766,7,29824,,,
9,M.C.G.,2351353,46,51116,344836.0,4.0,86209.0
10,Manuka Oval,37507,3,12502,,,
11,Marrara Oval,12104,1,12104,,,
12,S.C.G.,367376,11,33398,46323.0,1.0,46323.0
13,Subiaco,760380,22,34563,,,
14,Sydney Showground,107645,8,13456,14865.0,1.0,14865.0
15,Traeger Park,5072,1,5072,,,
16,York Park,52789,4,13197,,,
