, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Bruce Stadium,11282,1,11282,,,
1,Football Park,424566,11,38597,,,
2,Gabba,113355,11,10305,,,
3,Kardinia Park,241102,10,24110,,,
4,M.C.G.,2406331,50,48127,488496.0,7.0,69785.0
5,Princes Park,348830,18,19379,,,
6,S.C.G.,175736,11,15976,,,
7,Subiaco,447663,16,27979,,,
8,Victoria Park,68657,3,22886,,,
9,W.A.C.A.,162627,6,27105,,,
10,Waverley Park,499037,24,20793,106423.0,2.0,53212.0
11,Western Oval,218588,15,14573,,,
