,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,240721,8,30090
1,Round 2,164893,8,20612
2,Round 3,238880,8,29860
3,Round 4,291321,8,36415
4,Round 5,207982,8,25998
5,Round 6,233733,8,29217
6,Round 7,237722,8,29715
7,Round 8,235925,8,29491
8,Round 9,244246,8,30531
9,Round 10,239367,8,29921
10,Round 11,277416,8,34677
11,Round 12,227845,8,28481
12,Round 13,185376,8,23172
13,Round 14,281450,8,35181
14,Round 15,223742,8,27968
15,Round 16,213076,8,26635
16,Round 17,203656,8,25457
17,Round 18,229548,8,28694
18,Round 19,241206,8,30151
19,Round 20,220230,8,27529
20,Round 21,214314,8,26789
21,Round 22,265125,8,33141
22,Finals,594919,9,66102
