,0,1,2,3
0,Highest Home & Away Crowds,,,
1,72505,Carlton v Collingwood,M.C.G.,1986.0
2,68151,Carlton v Essendon,Waverley Park,1986.0
3,57634,Carlton v Hawthorn,M.C.G.,1986.0
4,51646,Essendon v Carlton,M.C.G.,1986.0
5,49124,Collingwood v Footscray,M.C.G.,1986.0
6,49022,Essendon v Collingwood,Waverley Park,1986.0
7,48107,Hawthorn v Carlton,Waverley Park,1986.0
8,41945,Richmond v Collingwood,M.C.G.,1986.0
9,40531,North Melbourne v Essendon,M.C.G.,1986.0
10,40117,North Melbourne v Geelong,M.C.G.,1986.0
11,40117,Melbourne v Sydney,M.C.G.,1986.0
12,39763,Sydney v Hawthorn,S.C.G.,1986.0
13,38456,Richmond v Essendon,M.C.G.,1986.0
14,38381,Hawthorn v Essendon,Waverley Park,1986.0
15,37873,Sydney v Carlton,S.C.G.,1986.0
16,35360,Richmond v Footscray,M.C.G.,1986.0
17,34488,Fitzroy v Collingwood,Waverley Park,1986.0
18,33546,Footscray v Essendon,Waverley Park,1986.0
19,33192,Sydney v Essendon,S.C.G.,1986.0
20,32635,North Melbourne v Footscray,M.C.G.,1986.0
