, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,389737,11,35431,311808.0,11.0,28346.0,701545.0,22.0,31888.0,230192.0,3.0,76731.0
1,Collingwood,286421,11,26038,368830.0,11.0,33530.0,655251.0,22.0,29784.0,,,
2,Essendon,290467,11,26406,348384.0,11.0,31671.0,638851.0,22.0,29039.0,59420.0,1.0,59420.0
3,Fitzroy,171363,11,15578,193348.0,11.0,17577.0,364711.0,22.0,16578.0,193522.0,3.0,64507.0
4,Footscray,215584,11,19599,269216.0,11.0,24474.0,484800.0,22.0,22036.0,,,
5,Geelong,168506,11,15319,223380.0,11.0,20307.0,391886.0,22.0,17813.0,,,
6,Hawthorn,201517,11,18320,263467.0,11.0,23952.0,464984.0,22.0,21136.0,232515.0,3.0,77505.0
7,Melbourne,247848,11,22532,172658.0,11.0,15696.0,420506.0,22.0,19114.0,,,
8,North Melbourne,277572,11,25234,197460.0,11.0,17951.0,475032.0,22.0,21592.0,,,
9,Richmond,271220,11,24656,198468.0,11.0,18043.0,469688.0,22.0,21349.0,,,
10,St Kilda,167350,11,15214,176058.0,11.0,16005.0,343408.0,22.0,15609.0,,,
11,Sydney,284312,11,25847,248820.0,11.0,22620.0,533132.0,22.0,24233.0,131779.0,2.0,65890.0
12,Totals,Home & Away:2971897 (22514),Finals:423714 (70619) ,Overall:3395611 (24606),,,,,,,,,
