, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide Oval,29340,1,29340,,,
1,Carrara,145333,8,18167,,,
2,Cazaly's Stadium,10832,1,10832,,,
3,Docklands,1575605,48,32825,39205.0,1.0,39205.0
4,Football Park,594344,21,28302,,,
5,Gabba,290604,14,20757,,,
6,Kardinia Park,167617,7,23945,,,
7,M.C.G.,2536695,47,53972,532775.0,7.0,76111.0
8,Manuka Oval,10184,1,10184,,,
9,Marrara Oval,18761,2,9381,,,
10,S.C.G.,201603,8,25200,,,
11,Stadium Australia,91160,3,30387,,,
12,Subiaco,790129,22,35915,42803.0,1.0,42803.0
13,York Park,62864,4,15716,,,
