, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide,385221,11,35020,287086.0,11.0,26099.0,672307.0,22.0,30559.0,,,
1,Brisbane Lions,225078,11,20462,329102.0,11.0,29918.0,554180.0,22.0,25190.0,,,
2,Carlton,585337,11,53212,504832.0,11.0,45894.0,1090169.0,22.0,49553.0,133173.0,2.0,66587.0
3,Collingwood,676372,11,61488,593587.0,11.0,53962.0,1269959.0,22.0,57725.0,254151.0,3.0,84717.0
4,Essendon,541932,11,49267,551274.0,11.0,50116.0,1093206.0,22.0,49691.0,90370.0,1.0,90370.0
5,Fremantle,378331,11,34394,284040.0,11.0,25822.0,662371.0,22.0,30108.0,,,
6,Geelong,389414,11,35401,473493.0,11.0,43045.0,862907.0,22.0,39223.0,232593.0,3.0,77531.0
7,Gold Coast,210859,11,19169,274783.0,11.0,24980.0,485642.0,22.0,22075.0,,,
8,Hawthorn,399993,11,36363,464152.0,11.0,42196.0,864145.0,22.0,39279.0,215911.0,3.0,71970.0
9,Melbourne,341504,11,31046,389604.0,11.0,35419.0,731108.0,22.0,33232.0,,,
10,North Melbourne,291210,11,26474,326438.0,11.0,29676.0,617648.0,22.0,28075.0,,,
11,Port Adelaide,238463,11,21678,268989.0,11.0,24454.0,507452.0,22.0,23066.0,,,
12,Richmond,470624,11,42784,424666.0,11.0,38606.0,895290.0,22.0,40695.0,,,
13,St Kilda,396938,11,36085,384886.0,11.0,34990.0,781824.0,22.0,35537.0,39205.0,1.0,39205.0
14,Sydney,292763,11,26615,309138.0,11.0,28103.0,601901.0,22.0,27359.0,94403.0,2.0,47202.0
15,West Coast,411798,11,37436,316715.0,11.0,28792.0,728513.0,22.0,33114.0,169760.0,3.0,56587.0
16,Western Bulldogs,289234,11,26294,342286.0,11.0,31117.0,631520.0,22.0,28705.0,,,
17,Totals,Home & Away:6525071 (34893),Finals:614783 (68309) ,Overall:7139854 (36428),,,,,,,,,
