,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,317651,8,39706
1,Round 2,270493,8,33812
2,Round 3,321186,8,40148
3,Round 4,256511,7,36644
4,Round 5,323654,7,46236
5,Round 6,239171,7,34167
6,Round 7,210457,8,26307
7,Round 8,309084,8,38636
8,Round 9,304826,8,38103
9,Round 10,258095,8,32262
10,Round 11,273413,8,34177
11,Round 12,320291,8,40036
12,Round 13,236057,8,29507
13,Round 14,289731,8,36216
14,Round 15,315635,8,39454
15,Round 16,235768,7,33681
16,Round 17,239632,8,29954
17,Round 18,278827,8,34853
18,Round 19,247099,7,35300
19,Round 20,226552,8,28319
20,Round 21,254978,8,31872
21,Round 22,247357,8,30920
22,Round 23,243837,8,30480
23,Round 24,304766,8,38096
24,Finals,614783,9,68309
