, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,226000,8,28250,180889.0,8.0,22611.0,406889.0,16.0,25431.0,123801.0,3.0,41267.0
1,Collingwood,123500,8,15438,164994.0,8.0,20624.0,288494.0,16.0,18031.0,37813.0,1.0,37813.0
2,Essendon,86500,8,10813,80783.0,8.0,10098.0,167283.0,16.0,10455.0,,,
3,Fitzroy,131000,8,16375,126241.0,8.0,15780.0,257241.0,16.0,16078.0,,,
4,Geelong,114000,8,14250,134789.0,8.0,16849.0,248789.0,16.0,15549.0,41649.0,1.0,41649.0
5,Melbourne,92408,8,11551,78000.0,8.0,9750.0,170408.0,16.0,10651.0,,,
6,Richmond,153000,8,19125,164832.0,8.0,20604.0,317832.0,16.0,19865.0,127637.0,3.0,42546.0
7,South Melbourne,141000,8,17625,120392.0,8.0,15049.0,261392.0,16.0,16337.0,,,
8,St Kilda,108000,8,13500,124488.0,8.0,15561.0,232488.0,16.0,14531.0,,,
9,Totals,Home & Away:1175408 (16325),Finals:165450 (41363) ,Overall:1340858 (17643),,,,,,,,,
