,0,1,2,3
0,Highest Home & Away Crowds,,,
1,42000,Carlton v Richmond,Princes Park,1921.0
2,40000,Carlton v Geelong,Princes Park,1921.0
3,35000,Fitzroy v Geelong,Brunswick St,1921.0
4,35000,Carlton v Collingwood,Princes Park,1921.0
5,32000,Richmond v Carlton,Punt Rd,1921.0
6,30000,Collingwood v Carlton,Victoria Park,1921.0
7,30000,Carlton v St Kilda,Princes Park,1921.0
8,30000,Richmond v Collingwood,Punt Rd,1921.0
9,28000,Carlton v Fitzroy,Princes Park,1921.0
10,27000,South Melbourne v Richmond,Lake Oval,1921.0
11,27000,Richmond v Fitzroy,Punt Rd,1921.0
12,25000,Fitzroy v St Kilda,Brunswick St,1921.0
13,25000,Collingwood v Richmond,Victoria Park,1921.0
14,25000,Carlton v South Melbourne,Princes Park,1921.0
15,25000,South Melbourne v Collingwood,Lake Oval,1921.0
16,25000,South Melbourne v Carlton,Lake Oval,1921.0
17,24000,Geelong v Carlton,Corio Oval,1921.0
18,20000,Collingwood v Fitzroy,Victoria Park,1921.0
19,20000,Collingwood v South Melbourne,Victoria Park,1921.0
20,20000,South Melbourne v St Kilda,Lake Oval,1921.0
