,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,70500,4,17625
1,Round 2,81994,4,20499
2,Round 3,70000,4,17500
3,Round 4,64392,4,16098
4,Round 5,110000,4,27500
5,Round 6,62000,4,15500
6,Round 7,73241,4,18310
7,Round 8,59889,4,14972
8,Round 9,62000,4,15500
9,Round 10,81783,4,20446
10,Round 11,31500,4,7875
11,Round 12,73000,4,18250
12,Round 13,34000,4,8500
13,Round 14,72488,4,18122
14,Round 15,57832,4,14458
15,Round 16,62000,4,15500
16,Round 17,51000,4,12750
17,Round 18,57789,4,14447
18,Finals,165450,4,41363
