, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,116645,9,12961,,,
1,Brunswick St,145696,9,16188,,,
2,Glenferrie Oval,174400,9,19378,,,
3,Junction Oval,231850,9,25761,,,
4,Kardinia Park,225204,9,25023,,,
5,Lake Oval,174340,9,19371,,,
6,M.C.G.,437804,9,48645,463578.0,5.0,92716.0
7,Princes Park,252664,9,28074,,,
8,Punt Rd,185629,9,20625,,,
9,Victoria Park,250744,9,27860,,,
10,Western Oval,258133,9,28681,,,
11,Windy Hill,267100,9,29678,,,
