,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,207952,6,34659
1,Round 2,119078,6,19846
2,Round 3,170084,6,28347
3,Round 4,152565,6,25428
4,Round 5,151324,6,25221
5,Round 6,149186,6,24864
6,Round 7,172067,6,28678
7,Round 8,137240,6,22873
8,Round 9,169210,6,28202
9,Round 10,186918,6,31153
10,Round 11,145461,6,24244
11,Round 12,128137,6,21356
12,Round 13,139948,6,23325
13,Round 14,124845,6,20808
14,Round 15,148776,6,24796
15,Round 16,132665,6,22111
16,Round 17,139154,6,23192
17,Round 18,145599,6,24267
18,Finals,463578,5,92716
