, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide,433713,11,39428,231861.0,11.0,21078.0,665574.0,22.0,30253.0,,,
1,Brisbane Bears,198968,11,18088,223347.0,11.0,20304.0,422315.0,22.0,19196.0,110450.0,3.0,36817.0
2,Carlton,394802,11,35891,433696.0,11.0,39427.0,828498.0,22.0,37659.0,63268.0,2.0,31634.0
3,Collingwood,491953,11,44723,432966.0,11.0,39361.0,924919.0,22.0,42042.0,,,
4,Essendon,544789,11,49526,427103.0,11.0,38828.0,971892.0,22.0,44177.0,149351.0,3.0,49784.0
5,Fitzroy,104300,11,9482,247771.0,11.0,22525.0,352071.0,22.0,16003.0,,,
6,Footscray,198800,11,18073,252880.0,11.0,22989.0,451680.0,22.0,20531.0,,,
7,Fremantle,247204,11,22473,227158.0,11.0,20651.0,474362.0,22.0,21562.0,,,
8,Geelong,276775,11,25161,503506.0,11.0,45773.0,780281.0,22.0,35467.0,69323.0,1.0,69323.0
9,Hawthorn,259868,11,23624,291311.0,11.0,26483.0,551179.0,22.0,25054.0,37010.0,1.0,37010.0
10,Melbourne,333465,11,30315,290093.0,11.0,26372.0,623558.0,22.0,28344.0,,,
11,North Melbourne,380899,11,34627,335635.0,11.0,30512.0,716534.0,22.0,32570.0,229144.0,3.0,76381.0
12,Richmond,424859,11,38624,426107.0,11.0,38737.0,850966.0,22.0,38680.0,,,
13,St Kilda,298512,11,27137,309485.0,11.0,28135.0,607997.0,22.0,27636.0,,,
14,Sydney,270309,11,24574,327942.0,11.0,29813.0,598251.0,22.0,27193.0,171843.0,3.0,57281.0
15,West Coast,356932,11,32448,255287.0,11.0,23208.0,612219.0,22.0,27828.0,127157.0,2.0,63579.0
16,Totals,Home & Away:5216148 (29637),Finals:478773 (53197) ,Overall:5694921 (30783),,,,,,,,,
