,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,290856,8,36357
1,Round 2,259424,8,32428
2,Round 3,172136,8,21517
3,Round 4,204069,8,25509
4,Round 5,254141,8,31768
5,Round 6,206705,8,25838
6,Round 7,305573,8,38197
7,Round 8,276671,8,34584
8,Round 9,227781,8,28473
9,Round 10,270954,8,33869
10,Round 11,193117,8,24140
11,Round 12,245334,8,30667
12,Round 13,225012,8,28127
13,Round 14,268432,8,33554
14,Round 15,203636,8,25455
15,Round 16,227895,8,28487
16,Round 17,223686,8,27961
17,Round 18,174148,8,21769
18,Round 19,156604,8,19576
19,Round 20,233342,8,29168
20,Round 21,313444,8,39181
21,Round 22,283188,8,35399
22,Finals,478773,9,53197
