, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Football Park,433713,11,39428,,,
1,Gabba,198968,11,18088,43731.0,2.0,21866.0
2,Kardinia Park,226701,10,22670,,,
3,M.C.G.,2351808,51,46114,314800.0,4.0,78700.0
4,Princes Park,265888,17,15640,,,
5,S.C.G.,270309,11,24574,78741.0,2.0,39371.0
6,Subiaco,452616,16,28289,41501.0,1.0,41501.0
7,Victoria Park,94322,4,23581,,,
8,W.A.C.A.,151520,6,25253,,,
9,Waverley Park,613079,24,25545,,,
10,Western Oval,157224,15,10482,,,
