, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,133300,9,14811,,,
1,Brunswick St,170471,9,18941,,,
2,Glenferrie Oval,151500,9,16833,,,
3,Junction Oval,189210,9,21023,,,
4,Kardinia Park,146416,9,16268,,,
5,Lake Oval,213850,9,23761,,,
6,M.C.G.,316266,9,35141,328422.0,4.0,82106.0
7,Princes Park,268004,9,29778,,,
8,Punt Rd,155500,9,17278,,,
9,Victoria Park,252221,9,28025,,,
10,Western Oval,185979,9,20664,,,
11,Windy Hill,200500,9,22278,,,
