,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,160925,6,26821
1,Round 2,158028,6,26338
2,Round 3,128620,6,21437
3,Round 4,142910,6,23818
4,Round 5,134095,6,22349
5,Round 6,135176,6,22529
6,Round 7,147941,6,24657
7,Round 8,147143,6,24524
8,Round 9,114809,6,19135
9,Round 10,125599,6,20933
10,Round 11,132824,6,22137
11,Round 12,131668,6,21945
12,Round 13,96840,6,16140
13,Round 14,130641,6,21774
14,Round 15,103713,6,17286
15,Round 16,133285,6,22214
16,Round 17,131326,6,21888
17,Round 18,127674,6,21279
18,Finals,328422,4,82106
