,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,263705,8,32963
1,Round 2,280889,8,35111
2,Round 3,262617,8,32827
3,Round 4,268483,8,33560
4,Round 5,268988,8,33624
5,Round 6,266986,8,33373
6,Round 7,286682,8,35835
7,Round 8,254026,8,31753
8,Round 9,260554,8,32569
9,Round 10,267397,8,33425
10,Round 11,295616,8,36952
11,Round 12,288489,8,36061
12,Round 13,280419,8,35052
13,Round 14,266577,8,33322
14,Round 15,293877,8,36735
15,Round 16,222522,8,27815
16,Round 17,266272,8,33284
17,Round 18,251317,8,31415
18,Round 19,245075,8,30634
19,Round 20,250804,8,31351
20,Round 21,262974,8,32872
21,Round 22,305567,8,38196
22,Finals,458461,9,50940
