, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Docklands,1630266,44,37052,,,
1,Football Park,767311,22,34878,86228.0,2.0,43114.0
2,Gabba,402713,12,33559,33582.0,1.0,33582.0
3,Kardinia Park,157230,8,19654,,,
4,M.C.G.,1486760,41,36262,298369.0,5.0,59674.0
5,Manuka Oval,30655,3,10218,,,
6,Marrara Oval,13271,1,13271,,,
7,Princes Park,155346,7,22192,,,
8,S.C.G.,241923,9,26880,,,
9,Stadium Australia,129658,3,43219,40282.0,1.0,40282.0
10,Subiaco,828244,22,37647,,,
11,York Park,66459,4,16615,,,
