, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,125000,9,13889,,,
1,Brunswick St,189500,9,21056,,,
2,Corio Oval,118000,9,13111,,,
3,Glenferrie Oval,93500,9,10389,,,
4,Junction Oval,116500,9,12944,,,
5,Lake Oval,201000,9,22333,,,
6,M.C.G.,130173,9,14464,213407.0,4.0,53352.0
7,Princes Park,216000,9,24000,,,
8,Punt Rd,161000,9,17889,,,
9,Victoria Park,121000,9,13444,,,
10,Western Oval,137500,9,15278,,,
11,Windy Hill,120000,9,13333,,,
