,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,117083,6,19514
1,Round 2,113000,6,18833
2,Round 3,59979,6,9997
3,Round 4,111000,6,18500
4,Round 5,105029,6,17505
5,Round 6,127000,6,21167
6,Round 7,111520,6,18587
7,Round 8,101647,6,16941
8,Round 9,91000,6,15167
9,Round 10,92000,6,15333
10,Round 11,101377,6,16896
11,Round 12,95250,6,15875
12,Round 13,93249,6,15542
13,Round 14,80500,6,13417
14,Round 15,80962,6,13494
15,Round 16,79000,6,13167
16,Round 17,82577,6,13763
17,Round 18,87000,6,14500
18,Finals,213407,4,53352
