, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,146000,9,16222,125070.0,8.0,15634.0,271070.0,17.0,15945.0,,,
1,Collingwood,156000,9,17333,164987.0,8.0,20623.0,320987.0,17.0,18882.0,174176.0,3.0,58059.0
2,Essendon,183000,9,20333,157872.0,8.0,19734.0,340872.0,17.0,20051.0,60055.0,1.0,60055.0
3,Fitzroy,153000,8,19125,171601.0,9.0,19067.0,324601.0,17.0,19094.0,,,
4,Footscray,105000,8,13125,152164.0,9.0,16907.0,257164.0,17.0,15127.0,,,
5,Geelong,129325,9,14369,140000.0,8.0,17500.0,269325.0,17.0,15843.0,115544.0,2.0,57772.0
6,Hawthorn,86000,8,10750,82000.0,9.0,9111.0,168000.0,17.0,9882.0,,,
7,Melbourne,152079,8,19010,138500.0,9.0,15389.0,290579.0,17.0,17093.0,101089.0,2.0,50545.0
8,North Melbourne,82000,8,10250,109454.0,9.0,12162.0,191454.0,17.0,11262.0,,,
9,Richmond,149000,8,18625,149489.0,9.0,16610.0,298489.0,17.0,17558.0,,,
10,South Melbourne,140000,9,15556,129000.0,8.0,16125.0,269000.0,17.0,15824.0,,,
11,St Kilda,164500,9,18278,125767.0,8.0,15721.0,290267.0,17.0,17075.0,,,
12,Totals,Home & Away:1645904 (16136),Finals:225432 (56358) ,Overall:1871336 (17654),,,,,,,,,
