,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,122767,6,20461
1,Round 2,115000,6,19167
2,Round 3,111070,6,18512
3,Round 4,92000,6,15333
4,Round 5,97454,6,16242
5,Round 6,145000,6,24167
6,Round 7,117101,6,19517
7,Round 8,95000,6,15833
8,Round 9,102500,6,17083
9,Round 10,72872,6,12145
10,Round 11,92000,6,15333
11,Round 12,87000,6,14500
12,Round 13,88962,6,14827
13,Round 14,54000,6,9000
14,Round 15,92389,6,15398
15,Round 16,78000,6,13000
16,Round 17,82789,6,13798
17,Finals,225432,4,56358
