, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,82000,8,10250,,,
1,Brunswick St,153000,8,19125,,,
2,Corio Oval,129325,9,14369,,,
3,Glenferrie Oval,86000,8,10750,,,
4,Junction Oval,164500,9,18278,,,
5,Lake Oval,140000,9,15556,,,
6,M.C.G.,152079,8,19010,225432.0,4.0,56358.0
7,Princes Park,146000,9,16222,,,
8,Punt Rd,149000,8,18625,,,
9,Victoria Park,156000,9,17333,,,
10,Western Oval,105000,8,13125,,,
11,Windy Hill,183000,9,20333,,,
