, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,177000,10,17700,,,
1,Brunswick St,128000,10,12800,,,
2,Glenferrie Oval,86000,9,9556,,,
3,Junction Oval,112000,10,11200,,,
4,Kardinia Park,183500,10,18350,,,
5,Lake Oval,100500,9,11167,,,
6,M.C.G.,215947,9,23994,296557.0,4.0,74139.0
7,Princes Park,209750,9,23306,,,
8,Punt Rd,219000,10,21900,,,
9,Victoria Park,199000,10,19900,,,
10,Western Oval,119000,9,13222,,,
11,Windy Hill,168000,9,18667,,,
