, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Docklands,1369991,42,32619,37475.0,1.0,37475.0
1,Football Park,808302,22,36741,60792.0,2.0,30396.0
2,Gabba,321006,12,26751,64901.0,2.0,32451.0
3,Kardinia Park,175801,8,21975,,,
4,M.C.G.,1758447,42,41868,286277.0,4.0,71569.0
5,Manuka Oval,28526,3,9509,,,
6,Princes Park,134663,10,13466,,,
7,S.C.G.,199545,10,19955,,,
8,Stadium Australia,128919,3,42973,,,
9,Subiaco,685164,22,31144,,,
10,York Park,33178,2,16589,,,
