,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,295477,8,36935
1,Round 2,256016,8,32002
2,Round 3,271009,8,33876
3,Round 4,222542,8,27818
4,Round 5,314423,8,39303
5,Round 6,235540,8,29443
6,Round 7,280348,8,35044
7,Round 8,214155,8,26769
8,Round 9,250617,8,31327
9,Round 10,242782,8,30348
10,Round 11,285959,8,35745
11,Round 12,207051,8,25881
12,Round 13,253086,8,31636
13,Round 14,245083,8,30635
14,Round 15,257033,8,32129
15,Round 16,285797,8,35725
16,Round 17,237395,8,29674
17,Round 18,227039,8,28380
18,Round 19,235070,8,29384
19,Round 20,280161,8,35020
20,Round 21,260583,8,32573
21,Round 22,286376,8,35797
22,Finals,449445,9,49938
