, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide,473752,11,43068,271251.0,11.0,24659.0,745003.0,22.0,33864.0,172347.0,3.0,57449.0
1,Brisbane Lions,295840,11,26895,371339.0,11.0,33758.0,667179.0,22.0,30326.0,156718.0,3.0,52239.0
2,Carlton,356311,11,32392,384622.0,11.0,34966.0,740933.0,22.0,33679.0,,,
3,Collingwood,556688,11,50608,553059.0,11.0,50278.0,1109747.0,22.0,50443.0,213908.0,3.0,71303.0
4,Essendon,513095,11,46645,489821.0,11.0,44529.0,1002916.0,22.0,45587.0,65136.0,2.0,32568.0
5,Fremantle,289944,11,26359,238264.0,11.0,21660.0,528208.0,22.0,24009.0,,,
6,Geelong,297441,11,27040,368824.0,11.0,33529.0,666265.0,22.0,30285.0,,,
7,Hawthorn,376065,11,34188,400452.0,11.0,36405.0,776517.0,22.0,35296.0,,,
8,Kangaroos,228089,11,20735,336155.0,11.0,30560.0,564244.0,22.0,25647.0,53967.0,1.0,53967.0
9,Melbourne,304413,11,27674,355458.0,11.0,32314.0,659871.0,22.0,29994.0,105500.0,2.0,52750.0
10,Port Adelaide,334550,11,30414,272641.0,11.0,24786.0,607191.0,22.0,27600.0,93839.0,3.0,31280.0
11,Richmond,360760,11,32796,415353.0,11.0,37759.0,776113.0,22.0,35278.0,,,
12,St Kilda,287915,11,26174,297193.0,11.0,27018.0,585108.0,22.0,26596.0,,,
13,Sydney,292754,11,26614,308929.0,11.0,28084.0,601683.0,22.0,27349.0,,,
14,West Coast,395220,11,35929,236946.0,11.0,21541.0,632166.0,22.0,28735.0,37475.0,1.0,37475.0
15,Western Bulldogs,280705,11,25519,343235.0,11.0,31203.0,623940.0,22.0,28361.0,,,
16,Totals,Home & Away:5643542 (32066),Finals:449445 (49938) ,Overall:6092987 (32935),,,,,,,,,
