,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,3000,Hawthorn v North Melbourne,Glenferrie Oval,1928.0
2,5000,Hawthorn v Collingwood,Glenferrie Oval,1928.0
3,6000,Hawthorn v South Melbourne,Glenferrie Oval,1928.0
4,6000,Hawthorn v Essendon,Glenferrie Oval,1928.0
5,6000,North Melbourne v Hawthorn,Arden St,1928.0
6,6000,North Melbourne v South Melbourne,Arden St,1928.0
7,6547,Melbourne v Hawthorn,M.C.G.,1928.0
8,7000,Geelong v Richmond,Corio Oval,1928.0
9,8000,Hawthorn v Melbourne,Glenferrie Oval,1928.0
10,8000,Hawthorn v Fitzroy,Glenferrie Oval,1928.0
11,8000,North Melbourne v Fitzroy,Arden St,1928.0
12,8000,South Melbourne v Fitzroy,Lake Oval,1928.0
13,8000,South Melbourne v Geelong,Lake Oval,1928.0
14,8000,Collingwood v Hawthorn,Victoria Park,1928.0
15,8000,Fitzroy v South Melbourne,Brunswick St,1928.0
16,8500,Hawthorn v Footscray,Glenferrie Oval,1928.0
17,8609,Melbourne v North Melbourne,M.C.G.,1928.0
18,9000,North Melbourne v Melbourne,Arden St,1928.0
19,9000,Fitzroy v Geelong,Brunswick St,1928.0
20,9500,Geelong v Hawthorn,Corio Oval,1928.0
