, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,98000,9,10889,,,
1,Brunswick St,145000,9,16111,,,
2,Corio Oval,107500,9,11944,,,
3,Glenferrie Oval,73500,9,8167,,,
4,Junction Oval,172500,9,19167,,,
5,Lake Oval,144000,9,16000,,,
6,M.C.G.,171927,9,19103,200005.0,4.0,50001.0
7,Princes Park,205500,9,22833,,,
8,Punt Rd,219000,9,24333,,,
9,Victoria Park,198000,9,22000,,,
10,Western Oval,156500,9,17389,,,
11,Windy Hill,162000,9,18000,,,
