,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,123000,6,20500
1,Round 2,121122,6,20187
2,Round 3,113500,6,18917
3,Round 4,85058,6,14176
4,Round 5,107000,6,17833
5,Round 6,114870,6,19145
6,Round 7,75000,6,12500
7,Round 8,124902,6,20817
8,Round 9,111000,6,18500
9,Round 10,113000,6,18833
10,Round 11,108062,6,18010
11,Round 12,108695,6,18116
12,Round 13,102500,6,17083
13,Round 14,94562,6,15760
14,Round 15,90000,6,15000
15,Round 16,89547,6,14925
16,Round 17,94000,6,15667
17,Round 18,77609,6,12935
18,Finals,200005,4,50001
