,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,135326,6,22554
1,Round 2,190816,6,31803
2,Round 3,137575,6,22929
3,Round 4,134722,6,22454
4,Round 5,116538,6,19423
5,Round 6,162707,6,27118
6,Round 7,133497,6,22250
7,Round 8,162477,6,27080
8,Round 9,127296,6,21216
9,Round 10,144148,6,24025
10,Round 11,172077,6,28680
11,Round 12,98922,6,16487
12,Round 13,116362,6,19394
13,Round 14,119995,6,19999
14,Round 15,115860,6,19310
15,Round 16,92772,6,15462
16,Round 17,102138,6,17023
17,Round 18,116425,6,19404
18,Round 19,136806,6,22801
19,Round 20,122998,6,20500
20,Round 21,144258,6,24043
21,Round 22,122442,6,20407
22,Finals,420279,4,105070
