, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,106610,10,10661,,,
1,Glenferrie Oval,184350,10,18435,,,
2,Junction Oval,149076,10,14908,,,
3,Kardinia Park,161708,9,17968,,,
4,Lake Oval,125604,9,13956,,,
5,M.C.G.,743014,19,39106,420279.0,4.0,105070.0
6,Moorabbin Oval,241351,10,24135,,,
7,Princes Park,232350,9,25817,,,
8,Victoria Park,248323,9,27591,,,
9,Waverley Park,380041,18,21113,,,
10,Western Oval,168801,9,18756,,,
11,Windy Hill,164929,10,16493,,,
