, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide Oval,937090,21,44623,,,
1,Bellerive Oval,43901,3,14634,,,
2,Carrara,135966,11,12361,,,
3,Cazaly's Stadium,9449,1,9449,,,
4,Docklands,1302648,46,28318,,,
5,Gabba,206911,11,18810,,,
6,Kardinia Park,196987,8,24623,,,
7,M.C.G.,2174807,45,48329,320569.0,4.0,80142.0
8,Manuka Oval,30395,3,10132,,,
9,Marrara Oval,11873,1,11873,,,
10,S.C.G.,258029,8,32254,,,
11,Stadium Australia,88706,3,29569,31162.0,1.0,31162.0
12,Subiaco,794167,22,36099,167322.0,4.0,41831.0
13,Sydney Showground,88256,8,11032,,,
14,Traeger Park,4866,1,4866,,,
15,Wellington,12125,1,12125,,,
16,York Park,55402,4,13851,,,
