,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,359470,9,39941
1,Round 2,295535,9,32837
2,Round 3,295388,9,32821
3,Round 4,314451,9,34939
4,Round 5,330001,9,36667
5,Round 6,247672,9,27519
6,Round 7,294366,9,32707
7,Round 8,291395,9,32377
8,Round 9,291525,9,32392
9,Round 10,285757,9,31751
10,Round 11,193091,6,32182
11,Round 12,178939,6,29823
12,Round 13,212088,6,35348
13,Round 14,268916,8,33615
14,Round 15,257679,9,28631
15,Round 16,297521,9,33058
16,Round 17,264528,9,29392
17,Round 18,303462,9,33718
18,Round 19,257709,9,28634
19,Round 20,292922,9,32547
20,Round 21,295001,9,32778
21,Round 22,260202,9,28911
22,Round 23,263960,9,29329
23,Finals,519053,9,57673
