,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,165187,6,27531
1,Round 2,165208,6,27535
2,Round 3,163886,6,27314
3,Round 4,129832,6,21639
4,Round 5,193535,6,32256
5,Round 6,152022,6,25337
6,Round 7,154538,6,25756
7,Round 8,166595,6,27766
8,Round 9,130744,6,21791
9,Round 10,141321,6,23554
10,Round 11,151366,6,25228
11,Round 12,186192,6,31032
12,Round 13,138447,6,23075
13,Round 14,102972,6,17162
14,Round 15,114100,6,19017
15,Round 16,149608,6,24935
16,Round 17,136976,6,22829
17,Round 18,109357,6,18226
18,Round 19,159050,6,26508
19,Round 20,134310,6,22385
20,Round 21,125531,6,20922
21,Round 22,146801,6,24467
22,Finals,420439,6,70073
