, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,142468,9,15830,,,
1,Junction Oval,156024,9,17336,,,
2,Kardinia Park,176633,9,19626,,,
3,M.C.G.,689483,18,38305,249710.0,3.0,83237.0
4,Moorabbin Oval,170642,9,18960,,,
5,Princes Park,391077,18,21727,,,
6,S.C.G.,132170,11,12015,,,
7,Victoria Park,244322,9,27147,,,
8,Waverley Park,730242,22,33193,170729.0,3.0,56910.0
9,Western Oval,180798,9,20089,,,
10,Windy Hill,203719,9,22635,,,
