,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,7404,North Melbourne v Sydney,Arden St,1983.0
2,8188,Hawthorn v St Kilda,Princes Park,1983.0
3,10084,Sydney v Hawthorn,S.C.G.,1983.0
4,10315,Sydney v Fitzroy,S.C.G.,1983.0
5,10609,North Melbourne v Melbourne,Arden St,1983.0
6,10710,Sydney v Footscray,S.C.G.,1983.0
7,10738,Fitzroy v Sydney,Junction Oval,1983.0
8,11094,Sydney v Melbourne,S.C.G.,1983.0
9,11276,Sydney v St Kilda,S.C.G.,1983.0
10,11475,Sydney v Richmond,S.C.G.,1983.0
11,11501,Geelong v St Kilda,Kardinia Park,1983.0
12,11831,Sydney v North Melbourne,S.C.G.,1983.0
13,11916,Sydney v Essendon,S.C.G.,1983.0
14,11943,North Melbourne v Geelong,Arden St,1983.0
15,12028,Footscray v North Melbourne,Waverley Park,1983.0
16,12245,Geelong v Hawthorn,Kardinia Park,1983.0
17,12732,Sydney v Geelong,S.C.G.,1983.0
18,13389,Footscray v Sydney,Western Oval,1983.0
19,13482,Hawthorn v Geelong,Princes Park,1983.0
20,13870,Fitzroy v Melbourne,Junction Oval,1983.0
