,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,329369,8,41171
1,Round 2,231707,8,28963
2,Round 3,296994,8,37124
3,Round 4,316244,8,39531
4,Round 5,278707,8,34838
5,Round 6,242690,8,30336
6,Round 7,237494,8,29687
7,Round 8,266359,8,33295
8,Round 9,254764,8,31846
9,Round 10,249839,8,31230
10,Round 11,296852,8,37107
11,Round 12,220828,8,27604
12,Round 13,261336,8,32667
13,Round 14,282401,8,35300
14,Round 15,267913,8,33489
15,Round 16,265949,8,33244
16,Round 17,252738,8,31592
17,Round 18,275685,8,34461
18,Round 19,276689,8,34586
19,Round 20,245514,8,30689
20,Round 21,223400,8,27925
21,Round 22,269119,8,33640
22,Finals,561223,9,62358
