,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,8664,Western Bulldogs v Fremantle,Princes Park,1997.0
2,12604,Western Bulldogs v Sydney,Princes Park,1997.0
3,12694,Western Bulldogs v Adelaide,Princes Park,1997.0
4,13056,North Melbourne v Port Adelaide,Princes Park,1997.0
5,13058,Western Bulldogs v Melbourne,Princes Park,1997.0
6,13392,Melbourne v Brisbane Lions,M.C.G.,1997.0
7,13614,North Melbourne v West Coast,Princes Park,1997.0
8,14025,Western Bulldogs v Port Adelaide,Princes Park,1997.0
9,14721,Fremantle v Brisbane Lions,Subiaco,1997.0
10,15036,Melbourne v Fremantle,M.C.G.,1997.0
11,15461,Richmond v Fremantle,Princes Park,1997.0
12,15757,Fremantle v Richmond,W.A.C.A.,1997.0
13,15939,Hawthorn v Fremantle,Waverley Park,1997.0
14,16430,Western Bulldogs v Brisbane Lions,Princes Park,1997.0
15,16467,Geelong v Fremantle,Kardinia Park,1997.0
16,17123,Brisbane Lions v St Kilda,Gabba,1997.0
17,17524,Brisbane Lions v West Coast,Gabba,1997.0
18,17752,St Kilda v Port Adelaide,Waverley Park,1997.0
19,17988,Geelong v West Coast,Kardinia Park,1997.0
20,18187,Carlton v Fremantle,Princes Park,1997.0
