, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Football Park,836020,22,38001,90150.0,2.0,45075.0
1,Gabba,215051,11,19550,,,
2,Kardinia Park,191417,9,21269,,,
3,M.C.G.,2304865,53,43488,421038.0,6.0,70173.0
4,Princes Park,457182,22,20781,,,
5,S.C.G.,393999,11,35818,,,
6,Subiaco,466553,16,29160,,,
7,Victoria Park,73419,3,24473,,,
8,W.A.C.A.,133649,6,22275,,,
9,Waverley Park,743732,22,33806,50035.0,1.0,50035.0
10,Western Oval,26704,1,26704,,,
