, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide,441905,11,40173,282311.0,11.0,25665.0,724216.0,22.0,32919.0,259883.0,4.0,64971.0
1,Brisbane Lions,215051,11,19550,297677.0,11.0,27062.0,512728.0,22.0,23306.0,50035.0,1.0,50035.0
2,Carlton,369972,11,33634,502403.0,11.0,45673.0,872375.0,22.0,39653.0,,,
3,Collingwood,535789,11,48708,567172.0,11.0,51561.0,1102961.0,22.0,50135.0,,,
4,Essendon,581330,11,52848,451908.0,11.0,41083.0,1033238.0,22.0,46965.0,,,
5,Fremantle,241801,11,21982,230094.0,11.0,20918.0,471895.0,22.0,21450.0,,,
6,Geelong,311567,11,28324,388452.0,11.0,35314.0,700019.0,22.0,31819.0,101880.0,2.0,50940.0
7,Hawthorn,356179,11,32380,354475.0,11.0,32225.0,710654.0,22.0,32302.0,,,
8,Melbourne,304853,11,27714,308860.0,11.0,28078.0,613713.0,22.0,27896.0,,,
9,North Melbourne,357725,11,32520,375231.0,11.0,34112.0,732956.0,22.0,33316.0,188873.0,3.0,62958.0
10,Port Adelaide,394115,11,35829,301875.0,11.0,27443.0,695990.0,22.0,31636.0,,,
11,Richmond,379670,11,34515,403847.0,11.0,36713.0,783517.0,22.0,35614.0,,,
12,St Kilda,387553,11,35232,406625.0,11.0,36966.0,794178.0,22.0,36099.0,227211.0,3.0,75737.0
13,Sydney,393999,11,35818,307142.0,11.0,27922.0,701141.0,22.0,31870.0,62432.0,1.0,62432.0
14,West Coast,358401,11,32582,286296.0,11.0,26027.0,644697.0,22.0,29304.0,99612.0,2.0,49806.0
15,Western Bulldogs,212681,11,19335,378223.0,11.0,34384.0,590904.0,22.0,26859.0,132520.0,2.0,66260.0
16,Totals,Home & Away:5842591 (33197),Finals:561223 (62358) ,Overall:6403814 (34615),,,,,,,,,
