,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,157163,6,26194
1,Round 2,129684,6,21614
2,Round 3,137650,6,22942
3,Round 4,160610,6,26768
4,Round 5,194342,6,32390
5,Round 6,139303,6,23217
6,Round 7,136035,6,22673
7,Round 8,185340,6,30890
8,Round 9,129929,6,21655
9,Round 10,146790,6,24465
10,Round 11,186931,6,31155
11,Round 12,119747,6,19958
12,Round 13,125001,6,20834
13,Round 14,121359,6,20227
14,Round 15,112763,6,18794
15,Round 16,121462,6,20244
16,Round 17,89598,6,14933
17,Round 18,121240,6,20207
18,Round 19,100999,6,16833
19,Round 20,91946,6,15324
20,Round 21,103335,6,17223
21,Round 22,140020,6,23337
22,Finals,443324,6,73887
