, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,60739,5,12148,,,
1,Junction Oval,130076,9,14453,,,
2,Kardinia Park,170557,9,18951,,,
3,M.C.G.,657529,22,29888,243193.0,3.0,81064.0
4,Moorabbin Oval,155776,9,17308,,,
5,Princes Park,369783,18,20544,,,
6,S.C.G.,137446,11,12495,,,
7,Victoria Park,243469,9,27052,,,
8,Waverley Park,666891,22,30313,200131.0,3.0,66710.0
9,Western Oval,168211,9,18690,,,
10,Windy Hill,190770,9,21197,,,
