, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Docklands,1373371,43,31939,32910.0,1.0,32910.0
1,Football Park,774580,22,35208,30613.0,1.0,30613.0
2,Gabba,327754,12,27313,69412.0,2.0,34706.0
3,Kardinia Park,150114,7,21445,,,
4,M.C.G.,2086712,44,47425,393508.0,5.0,78702.0
5,Manuka Oval,34105,3,11368,,,
6,Princes Park,210750,9,23417,,,
7,S.C.G.,353069,13,27159,,,
8,Subiaco,593202,22,26964,,,
9,York Park,17460,1,17460,,,
