,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,283718,8,35465
1,Round 2,250172,8,31272
2,Round 3,283815,8,35477
3,Round 4,270433,8,33804
4,Round 5,288673,8,36084
5,Round 6,269420,8,33678
6,Round 7,300273,8,37534
7,Round 8,209805,8,26226
8,Round 9,268902,8,33613
9,Round 10,250156,8,31270
10,Round 11,322756,8,40345
11,Round 12,256069,8,32009
12,Round 13,236534,8,29567
13,Round 14,279435,8,34929
14,Round 15,254166,8,31771
15,Round 16,287339,8,35917
16,Round 17,241920,8,30240
17,Round 18,334237,8,41780
18,Round 19,272570,8,34071
19,Round 20,252916,8,31615
20,Round 21,269973,8,33747
21,Round 22,237835,8,29729
22,Finals,526443,9,58494
