, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,68500,9,7611,,,
1,Brunswick St,131000,9,14556,,,
2,Corio Oval,69500,9,7722,,,
3,Glenferrie Oval,88500,9,9833,,,
4,Junction Oval,131500,9,14611,,,
5,Lake Oval,100000,9,11111,,,
6,M.C.G.,155318,9,17258,216628.0,4.0,54157.0
7,Princes Park,109000,9,12111,,,
8,Punt Rd,156000,9,17333,,,
9,Victoria Park,106000,9,11778,,,
10,Western Oval,126000,9,14000,,,
11,Windy Hill,139000,9,15444,,,
