,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,111000,6,18500
1,Round 2,103044,6,17174
2,Round 3,109867,6,18311
3,Round 4,80000,6,13333
4,Round 5,85043,6,14174
5,Round 6,76000,6,12667
6,Round 7,53000,6,8833
7,Round 8,82737,6,13790
8,Round 9,76000,6,12667
9,Round 10,79265,6,13211
10,Round 11,73500,6,12250
11,Round 12,58140,6,9690
12,Round 13,72500,6,12083
13,Round 14,61500,6,10250
14,Round 15,72000,6,12000
15,Round 16,60000,6,10000
16,Round 17,70722,6,11787
17,Round 18,56000,6,9333
18,Finals,216628,4,54157
