,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,133247,6,22208
1,Round 2,142433,6,23739
2,Round 3,133000,6,22167
3,Round 4,145329,6,24222
4,Round 5,63364,6,10561
5,Round 6,125070,6,20845
6,Round 7,132087,6,22015
7,Round 8,113554,6,18926
8,Round 9,89780,6,14963
9,Round 10,117919,6,19653
10,Round 11,133780,6,22297
11,Round 12,131070,6,21845
12,Round 13,117828,6,19638
13,Round 14,112411,6,18735
14,Round 15,120352,6,20059
15,Round 16,77743,6,12957
16,Round 17,88158,6,14693
17,Round 18,102991,6,17165
18,Finals,287533,4,71883
