, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,126877,9,14097,,,
1,Brunswick St,142000,9,15778,,,
2,Glenferrie Oval,87000,9,9667,,,
3,Junction Oval,128700,9,14300,,,
4,Kardinia Park,214180,9,23798,,,
5,Lake Oval,176296,9,19588,,,
6,M.C.G.,199491,9,22166,287533.0,4.0,71883.0
7,Princes Park,204656,9,22740,,,
8,Punt Rd,148894,9,16544,,,
9,Victoria Park,225631,9,25070,,,
10,Western Oval,210591,9,23399,,,
11,Windy Hill,215800,9,23978,,,
