, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,105000,9,11667,,,
1,Brunswick St,154000,9,17111,,,
2,Glenferrie Oval,111000,10,11100,,,
3,Junction Oval,81000,9,9000,,,
4,Kardinia Park,155800,9,17311,,,
5,Lake Oval,180500,10,18050,,,
6,M.C.G.,241213,10,24121,345833.0,5.0,69167.0
7,Princes Park,209000,10,20900,,,
8,Punt Rd,219000,9,24333,,,
9,Victoria Park,247500,9,27500,,,
10,Western Oval,158500,10,15850,,,
11,Windy Hill,194000,10,19400,,,
